service,hour,day_of_week,is_weekend,queue_length,counters_open,wait_minutes
Document Verification,16,5,1,32,1,193.39
Document Verification,12,4,0,5,3,5.53
Document Verification,11,2,0,12,2,37.86
Bill Payment,11,5,1,24,4,22.87
Customer Support,16,3,0,31,3,67.92
General Enquiry,15,0,0,42,1,173.88
Document Verification,9,4,0,50,3,113.61
General Enquiry,16,2,0,45,3,53.94
Document Verification,14,0,0,15,1,94.73
Account Services,13,4,0,48,3,137.0
General Enquiry,17,5,1,7,1,27.91
Customer Support,15,1,0,30,3,65.84
Document Verification,12,3,0,5,2,17.12
Document Verification,12,0,0,43,3,85.95
General Enquiry,12,4,0,37,4,41.78
Customer Support,14,0,0,50,1,345.51
Document Verification,16,3,0,24,2,82.09
Document Verification,16,3,0,53,1,349.01
General Enquiry,9,4,0,43,4,49.34
Customer Support,9,1,0,43,1,340.38
Bill Payment,14,6,1,5,1,16.29
Customer Support,11,2,0,23,4,42.74
Customer Support,15,5,1,7,4,16.52
General Enquiry,16,3,0,13,1,54.7
Account Services,17,5,1,32,3,96.69
Account Services,15,2,0,6,1,43.98
Account Services,16,1,0,9,3,26.8
Account Services,14,3,0,55,3,148.26
Document Verification,12,6,1,6,2,17.33
Document Verification,12,5,1,19,3,32.78
Customer Support,14,4,0,21,2,72.87
General Enquiry,14,2,0,39,3,49.43
Bill Payment,16,2,0,32,3,41.11
Customer Support,15,3,0,22,4,41.49
Bill Payment,11,3,0,5,4,5.76
Customer Support,9,0,0,15,2,58.94
Customer Support,9,3,0,27,4,51.19
Document Verification,10,3,0,70,2,199.13
Document Verification,15,1,0,22,3,39.95
Document Verification,13,3,0,42,1,260.14
Bill Payment,16,5,1,25,4,18.5
Customer Support,15,0,0,8,2,28.78
Customer Support,9,4,0,29,1,205.81
General Enquiry,9,1,0,45,1,188.9
Document Verification,15,4,0,19,1,127.37
Bill Payment,13,3,0,32,4,28.3
General Enquiry,16,2,0,28,2,52.87
Customer Support,17,4,0,17,3,36.08
Document Verification,17,4,0,30,2,83.84
General Enquiry,15,3,0,27,3,40.82
Document Verification,17,3,0,47,3,80.54
Account Services,15,5,1,28,2,133.44
General Enquiry,11,5,1,17,3,16.9
Account Services,15,6,1,24,2,87.77
General Enquiry,16,4,0,42,1,185.12
Bill Payment,9,0,0,10,2,18.95
Document Verification,15,0,0,40,4,55.8
General Enquiry,14,1,0,25,4,20.48
Document Verification,12,4,0,10,4,8.53
Document Verification,16,6,1,26,2,86.36
Customer Support,10,4,0,43,1,347.99
Document Verification,11,5,1,20,2,53.91
Account Services,17,1,0,18,2,62.03
Account Services,9,2,0,24,2,108.19
Customer Support,15,3,0,29,3,59.35
Customer Support,17,2,0,34,3,75.32
Customer Support,11,2,0,26,2,93.76
Bill Payment,16,4,0,25,4,24.77
Bill Payment,16,4,0,12,4,10.35
Account Services,14,2,0,25,4,59.94
Document Verification,9,2,0,6,1,33.98
Document Verification,11,0,0,15,1,97.87
Account Services,10,6,1,30,2,105.99
Account Services,16,1,0,26,1,198.71
Account Services,16,3,0,17,4,26.5
Customer Support,15,2,0,31,1,211.25
Customer Support,15,1,0,5,1,30.63
Customer Support,10,5,1,39,1,281.47
Bill Payment,14,4,0,41,4,34.76
Customer Support,15,6,1,34,4,58.5
Customer Support,17,0,0,25,2,91.94
Bill Payment,10,3,0,7,2,12.16
Bill Payment,9,4,0,48,1,161.21
General Enquiry,17,1,0,8,3,7.87
Document Verification,13,0,0,3,4,8.93
Bill Payment,10,4,0,38,4,29.47
Document Verification,9,3,0,39,3,62.44
General Enquiry,14,1,0,18,1,71.8
Account Services,12,5,1,26,3,78.97
General Enquiry,12,6,1,26,3,34.11
Customer Support,9,5,1,48,4,96.4
Bill Payment,10,4,0,63,1,216.88
Customer Support,15,4,0,18,4,37.08
Account Services,16,6,1,47,3,134.13
Account Services,9,0,0,6,1,52.33
Customer Support,15,6,1,13,4,32.2
Bill Payment,12,0,0,26,3,30.49
Bill Payment,12,5,1,24,1,92.75
Document Verification,11,1,0,35,1,189.57
Customer Support,10,3,0,18,3,42.55
General Enquiry,17,1,0,8,3,9.99
Bill Payment,15,2,0,41,4,39.19
Account Services,9,2,0,33,1,283.38
Document Verification,14,2,0,14,3,30.21
Bill Payment,14,3,0,21,3,26.96
General Enquiry,15,0,0,8,1,27.8
Bill Payment,11,1,0,13,4,11.28
Customer Support,15,0,0,19,4,32.22
Bill Payment,11,2,0,38,1,132.9
Bill Payment,13,3,0,26,3,27.03
General Enquiry,17,0,0,15,2,28.31
General Enquiry,11,6,1,31,1,129.44
General Enquiry,13,6,1,14,2,25.98
Customer Support,15,2,0,28,2,81.52
Customer Support,12,0,0,36,4,58.7
Bill Payment,17,3,0,2,2,1.36
Customer Support,9,2,0,10,2,33.58
General Enquiry,17,4,0,27,2,54.96
General Enquiry,13,4,0,11,4,13.32
Account Services,9,6,1,61,2,248.23
Document Verification,14,1,0,25,2,75.98
Customer Support,14,1,0,51,3,126.56
Account Services,12,4,0,5,2,22.09
General Enquiry,14,5,1,20,3,31.2
Customer Support,16,5,1,10,1,61.64
Bill Payment,11,1,0,10,3,13.23
Document Verification,17,4,0,30,3,71.08
Account Services,12,3,0,12,3,33.05
Bill Payment,12,1,0,14,4,13.58
Account Services,14,5,1,54,2,239.98
Customer Support,17,0,0,54,3,131.2
Document Verification,11,4,0,9,3,18.58
Bill Payment,10,4,0,14,4,11.56
Account Services,16,0,0,45,4,83.46
Account Services,17,2,0,20,1,189.77
Bill Payment,17,4,0,37,1,144.54
Bill Payment,14,3,0,13,1,45.82
Bill Payment,13,2,0,58,3,61.17
Document Verification,15,0,0,20,4,27.44
Bill Payment,15,5,1,39,2,65.43
Bill Payment,11,1,0,21,3,21.55
Account Services,16,6,1,29,1,197.71
Bill Payment,9,0,0,7,2,13.06
Bill Payment,10,0,0,71,1,271.93
General Enquiry,9,2,0,19,2,38.11
Account Services,15,5,1,10,2,41.28
Customer Support,10,5,1,13,1,91.11
Document Verification,17,5,1,29,1,193.84
Customer Support,17,6,1,14,4,21.93
Bill Payment,15,0,0,38,3,40.56
Account Services,9,6,1,21,3,57.14
General Enquiry,16,2,0,15,3,19.56
Account Services,14,4,0,2,3,1.56
Document Verification,14,5,1,35,1,239.86
Account Services,9,2,0,15,1,106.74
Customer Support,9,2,0,13,1,100.55
General Enquiry,11,2,0,11,2,23.21
Account Services,10,5,1,11,4,15.05
Account Services,14,2,0,47,1,383.07
General Enquiry,17,3,0,18,1,72.74
Customer Support,16,6,1,35,1,237.71
Document Verification,14,3,0,12,1,83.63
General Enquiry,14,4,0,25,2,56.51
Customer Support,17,5,1,27,2,97.66
Bill Payment,14,2,0,20,3,20.44
Bill Payment,10,3,0,15,3,18.22
Account Services,11,3,0,26,4,46.92
Document Verification,17,5,1,40,2,103.44
Customer Support,15,6,1,24,3,49.86
Bill Payment,13,3,0,22,1,74.04
Customer Support,14,0,0,49,2,167.42
Bill Payment,17,0,0,16,4,14.24
Account Services,12,0,0,26,1,237.28
Document Verification,14,6,1,27,2,85.33
Bill Payment,16,0,0,53,2,93.04
Account Services,13,3,0,34,3,93.82
General Enquiry,9,4,0,15,2,27.0
Account Services,12,1,0,18,1,165.81
Bill Payment,9,4,0,45,3,50.3
Bill Payment,9,1,0,69,3,85.93
Account Services,11,3,0,26,4,41.9
Bill Payment,9,0,0,38,4,33.21
Document Verification,12,5,1,32,2,89.12
Account Services,11,1,0,25,4,58.02
General Enquiry,17,4,0,10,4,10.72
Bill Payment,13,6,1,52,4,40.89
Customer Support,12,1,0,4,2,12.13
Document Verification,13,1,0,4,4,6.58
Bill Payment,17,5,1,56,1,178.52
Account Services,9,2,0,12,1,110.1
Bill Payment,13,4,0,41,3,56.18
Document Verification,17,0,0,15,2,53.41
Customer Support,12,2,0,8,4,18.57
General Enquiry,15,1,0,23,2,53.22
Document Verification,10,5,1,38,1,223.47
Bill Payment,17,0,0,29,2,52.67
Bill Payment,11,5,1,32,3,43.9
Bill Payment,13,5,1,46,1,156.98
Account Services,14,1,0,22,4,47.41
Customer Support,17,4,0,41,2,153.8
Account Services,13,3,0,10,1,86.64
General Enquiry,15,1,0,5,4,2.15
Bill Payment,10,2,0,55,2,102.72
Customer Support,10,5,1,13,2,43.38
Bill Payment,10,4,0,7,3,7.31
Account Services,15,0,0,36,4,66.99
General Enquiry,10,1,0,16,2,30.14
General Enquiry,11,2,0,11,1,37.32
Account Services,15,0,0,29,4,60.49
Account Services,14,3,0,50,4,90.89
Document Verification,9,4,0,27,2,83.01
Document Verification,16,6,1,43,1,292.25
Document Verification,16,0,0,26,4,39.99
Document Verification,17,3,0,17,2,47.29
Document Verification,9,4,0,50,4,66.56
Document Verification,10,1,0,52,4,82.49
Customer Support,16,2,0,46,1,315.69
Customer Support,12,4,0,31,2,119.37
Customer Support,10,4,0,63,1,403.34
Customer Support,13,5,1,24,4,35.84
Bill Payment,10,1,0,30,1,107.51
Document Verification,15,0,0,18,4,25.51
Customer Support,15,0,0,18,4,24.55
Account Services,13,1,0,55,2,203.33
Document Verification,11,0,0,35,2,97.6
Account Services,16,4,0,9,2,39.2
General Enquiry,10,2,0,59,4,53.59
Customer Support,16,3,0,41,2,155.54
General Enquiry,17,0,0,56,3,79.82
General Enquiry,16,1,0,7,3,6.95
Document Verification,13,3,0,43,3,78.25
Document Verification,15,2,0,8,3,19.14
General Enquiry,15,5,1,19,4,18.69
General Enquiry,17,1,0,44,1,191.65
Document Verification,12,4,0,14,4,19.43
Bill Payment,14,2,0,4,3,2.86
Bill Payment,14,4,0,18,2,26.31
Customer Support,12,2,0,21,4,40.36
Bill Payment,15,5,1,20,4,15.51
Document Verification,11,2,0,31,1,199.95
Customer Support,13,0,0,45,2,178.71
Customer Support,16,0,0,12,2,44.24
Document Verification,17,5,1,13,2,37.07
Bill Payment,9,0,0,11,4,8.54
General Enquiry,15,0,0,34,3,47.88
Account Services,13,4,0,11,2,38.22
Account Services,10,5,1,28,1,250.1
Customer Support,9,6,1,17,4,31.24
General Enquiry,11,6,1,21,3,31.66
General Enquiry,14,6,1,46,1,159.48
Document Verification,13,0,0,16,2,49.3
Document Verification,11,5,1,32,4,44.88
General Enquiry,14,5,1,35,4,35.7
General Enquiry,9,2,0,57,3,76.38
Customer Support,17,3,0,12,2,31.06
Document Verification,12,2,0,3,4,3.25
General Enquiry,17,6,1,22,1,85.2
Bill Payment,15,1,0,22,1,85.13
Bill Payment,17,5,1,16,1,57.62
Document Verification,17,0,0,43,4,67.82
Bill Payment,10,2,0,23,3,31.95
Account Services,17,6,1,19,4,34.96
General Enquiry,14,1,0,25,3,34.03
Account Services,11,3,0,26,1,186.83
General Enquiry,15,6,1,11,3,14.33
Customer Support,11,4,0,17,1,130.98
General Enquiry,10,3,0,28,3,42.98
Document Verification,17,0,0,53,1,283.72
Customer Support,10,5,1,47,3,106.49
Account Services,11,6,1,10,2,40.55
Account Services,15,2,0,23,1,195.87
Account Services,16,1,0,22,3,50.55
General Enquiry,9,6,1,31,1,135.35
Account Services,17,3,0,3,1,29.24
Account Services,9,6,1,74,4,147.74
Document Verification,9,0,0,50,4,75.14
Account Services,10,4,0,39,3,96.99
Document Verification,13,3,0,47,2,129.32
Bill Payment,10,5,1,60,2,114.44
Document Verification,12,1,0,20,4,24.76
General Enquiry,15,4,0,4,4,2.6
Bill Payment,9,2,0,21,2,38.07
Document Verification,13,2,0,52,4,68.32
Bill Payment,16,4,0,9,2,12.58
Account Services,11,3,0,15,1,111.31
Account Services,9,4,0,39,3,82.77
Account Services,11,2,0,28,2,113.12
Bill Payment,14,1,0,21,1,63.56
General Enquiry,16,5,1,31,4,29.14
Document Verification,16,3,0,57,3,111.03
Customer Support,13,3,0,52,1,358.55
General Enquiry,16,3,0,50,2,89.98
Bill Payment,9,5,1,34,4,28.14
General Enquiry,17,5,1,20,3,29.43
General Enquiry,13,0,0,32,2,72.38
Bill Payment,10,4,0,22,2,41.61
Account Services,10,3,0,22,3,64.59
Account Services,13,4,0,36,2,162.88
Account Services,12,5,1,6,1,60.7
Bill Payment,10,2,0,44,4,40.12
Document Verification,17,3,0,25,2,67.01
Account Services,14,2,0,18,1,125.98
Document Verification,11,2,0,8,2,20.04
Account Services,12,6,1,5,2,19.45
Bill Payment,15,4,0,22,4,17.52
General Enquiry,15,0,0,46,4,50.99
Document Verification,16,5,1,9,2,32.89
General Enquiry,9,1,0,41,3,55.53
Account Services,16,2,0,21,1,166.98
Account Services,11,6,1,35,2,156.88
Customer Support,12,5,1,18,2,63.24
General Enquiry,10,5,1,32,2,61.04
Document Verification,17,0,0,62,4,92.89
Account Services,10,1,0,19,4,32.55
Bill Payment,14,2,0,30,3,31.77
Account Services,13,2,0,9,2,36.82
Bill Payment,10,1,0,46,2,71.16
Document Verification,9,5,1,61,4,104.61
Customer Support,9,6,1,77,1,513.85
Document Verification,13,5,1,53,2,168.92
Document Verification,9,4,0,24,1,127.02
Document Verification,17,6,1,11,3,20.01
Customer Support,13,3,0,19,2,64.33
General Enquiry,10,4,0,27,2,53.25
Customer Support,15,0,0,45,2,176.04
Customer Support,16,2,0,36,1,251.6
General Enquiry,9,3,0,41,3,58.17
Customer Support,16,4,0,41,3,104.04
General Enquiry,9,0,0,61,3,79.83
General Enquiry,10,6,1,18,2,38.52
Document Verification,15,0,0,39,1,239.82
Bill Payment,11,4,0,21,2,30.25
Customer Support,15,6,1,22,4,31.09
General Enquiry,11,5,1,24,3,37.63
Customer Support,9,2,0,21,2,68.53
General Enquiry,15,5,1,3,2,4.08
Document Verification,9,2,0,17,2,56.65
Account Services,13,5,1,51,3,133.96
General Enquiry,15,1,0,19,4,14.59
Document Verification,9,3,0,42,3,95.36
Document Verification,16,0,0,5,1,25.48
Account Services,13,5,1,35,2,160.58
Account Services,10,4,0,26,4,54.76
Customer Support,15,5,1,15,2,51.15
Account Services,11,4,0,12,2,55.01
Bill Payment,14,4,0,50,1,154.48
Account Services,9,0,0,83,1,716.09
General Enquiry,9,5,1,30,3,40.84
General Enquiry,17,6,1,9,2,19.72
Bill Payment,16,4,0,47,4,38.75
Document Verification,11,6,1,34,2,97.06
General Enquiry,13,6,1,15,2,25.49
Customer Support,17,5,1,42,1,333.76
Customer Support,15,0,0,31,1,238.12
Customer Support,15,6,1,27,3,62.93
General Enquiry,14,2,0,59,2,108.59
Document Verification,13,2,0,5,2,14.93
Document Verification,14,2,0,39,3,79.25
Customer Support,13,0,0,19,3,48.3
Account Services,15,2,0,9,1,74.46
Bill Payment,14,6,1,29,3,32.84
Bill Payment,13,1,0,9,2,16.74
Customer Support,17,2,0,7,3,20.76
Customer Support,12,5,1,7,4,9.24
General Enquiry,12,1,0,38,1,155.3
Document Verification,10,5,1,5,4,7.41
Account Services,16,5,1,48,2,191.22
Document Verification,14,6,1,10,2,22.99
Bill Payment,16,2,0,27,1,83.87
Bill Payment,14,5,1,61,2,119.38
General Enquiry,17,6,1,39,4,41.57
Account Services,9,0,0,63,4,107.45
Customer Support,13,2,0,20,3,53.24
Account Services,10,4,0,32,2,140.59
Document Verification,17,2,0,4,2,12.47
Customer Support,9,5,1,57,3,138.15
Bill Payment,12,3,0,19,1,57.97
Document Verification,14,4,0,34,4,49.9
Customer Support,16,6,1,5,1,25.51
Document Verification,10,2,0,22,1,128.76
General Enquiry,12,5,1,32,4,37.64
Account Services,9,2,0,67,2,282.76
Account Services,13,4,0,9,4,23.02
Document Verification,14,0,0,64,2,202.71
General Enquiry,11,0,0,33,2,76.35
Bill Payment,16,6,1,51,4,42.27
Document Verification,14,2,0,14,2,43.49
Customer Support,16,3,0,23,3,46.29
Bill Payment,16,2,0,42,1,163.48
Bill Payment,11,5,1,36,4,35.65
General Enquiry,17,1,0,43,2,95.7
Bill Payment,12,2,0,7,3,9.89
Customer Support,12,3,0,29,1,176.27
Document Verification,14,2,0,27,2,79.38
Bill Payment,14,1,0,45,3,52.32
Document Verification,16,4,0,28,4,44.64
Bill Payment,11,5,1,19,3,20.0
General Enquiry,16,1,0,12,4,12.25
Customer Support,12,6,1,24,4,45.69
Account Services,15,0,0,14,2,56.76
Customer Support,17,0,0,10,1,67.86
Bill Payment,13,3,0,27,4,25.55
Bill Payment,12,4,0,23,2,35.27
General Enquiry,12,3,0,9,4,9.66
Account Services,11,4,0,17,2,74.55
Customer Support,9,2,0,43,4,84.42
General Enquiry,10,5,1,5,1,23.4
Account Services,16,0,0,58,1,496.1
Account Services,15,3,0,35,3,90.92
General Enquiry,9,4,0,42,4,48.83
Bill Payment,10,2,0,6,4,4.92
Document Verification,14,3,0,9,3,18.35
General Enquiry,14,1,0,36,2,71.91
Account Services,17,3,0,6,2,23.77
Customer Support,16,0,0,26,3,62.94
Bill Payment,17,0,0,34,2,53.78
Document Verification,11,4,0,6,3,12.94
Bill Payment,15,2,0,16,1,57.78
Bill Payment,12,0,0,28,4,29.07
Customer Support,17,6,1,15,3,35.54
General Enquiry,10,6,1,58,2,121.9
Customer Support,14,3,0,5,2,15.85
Account Services,12,5,1,21,1,149.45
General Enquiry,15,5,1,18,2,33.35
Account Services,15,1,0,17,4,35.29
Document Verification,13,1,0,22,2,66.55
Document Verification,14,2,0,31,4,35.21
Account Services,11,6,1,11,1,87.42
Account Services,9,0,0,38,1,310.82
Bill Payment,10,2,0,10,1,31.3
Customer Support,17,3,0,53,3,138.71
Account Services,10,6,1,28,3,68.58
Account Services,17,3,0,52,2,236.24
Bill Payment,14,4,0,28,3,33.34
Bill Payment,10,5,1,6,1,23.0
Account Services,9,6,1,8,1,62.83
Account Services,14,3,0,36,2,148.36
Document Verification,16,6,1,21,3,36.21
Document Verification,9,1,0,46,4,62.53
Document Verification,12,0,0,48,2,129.03
General Enquiry,15,1,0,23,1,81.23
Account Services,9,2,0,56,1,392.22
Document Verification,14,0,0,25,2,75.32
Customer Support,10,1,0,11,2,41.77
Account Services,16,1,0,40,3,110.3
Customer Support,11,5,1,4,1,21.45
Customer Support,13,6,1,53,1,347.91
Customer Support,13,6,1,42,3,110.0
Document Verification,9,4,0,18,4,19.39
Bill Payment,15,4,0,3,3,3.32
Bill Payment,17,3,0,17,4,17.89
Bill Payment,9,4,0,24,2,38.15
General Enquiry,14,1,0,15,2,34.04
Document Verification,12,3,0,8,4,9.91
General Enquiry,15,5,1,7,3,8.91
Bill Payment,17,4,0,38,4,30.98
Bill Payment,14,4,0,46,4,44.21
General Enquiry,16,4,0,33,3,40.58
Account Services,11,1,0,9,3,22.9
General Enquiry,13,6,1,43,2,74.83
Account Services,17,0,0,60,4,113.3
General Enquiry,14,0,0,17,3,27.53
Bill Payment,16,5,1,13,4,10.65
Document Verification,17,2,0,50,4,71.28
Customer Support,9,1,0,17,1,133.65
Bill Payment,10,0,0,55,4,46.49
Document Verification,14,3,0,21,1,133.75
Account Services,14,0,0,14,2,50.57
Customer Support,11,4,0,12,1,80.18
Document Verification,10,1,0,38,3,71.6
Bill Payment,17,3,0,32,1,123.81
Account Services,9,0,0,25,4,58.83
General Enquiry,9,1,0,48,4,54.39
Bill Payment,10,2,0,24,1,77.56
Account Services,11,0,0,33,1,304.56
General Enquiry,17,6,1,39,1,136.04
General Enquiry,10,3,0,63,1,266.88
Account Services,17,3,0,39,3,91.9
General Enquiry,13,4,0,26,4,21.25
Customer Support,9,6,1,14,3,31.77
Document Verification,9,1,0,43,3,87.86
Account Services,9,3,0,54,1,487.32
Document Verification,14,3,0,2,4,1.15
Customer Support,9,4,0,52,2,168.22
Customer Support,15,1,0,8,2,24.99
Account Services,16,0,0,12,4,26.14
Account Services,10,2,0,28,3,83.63
Bill Payment,9,3,0,52,1,174.87
Document Verification,11,4,0,34,4,42.9
Customer Support,14,2,0,53,2,213.91
Account Services,13,2,0,4,2,10.93
Customer Support,11,1,0,3,3,3.35
General Enquiry,13,5,1,13,2,29.66
Bill Payment,10,6,1,48,4,46.01
Account Services,16,1,0,18,2,76.93
Account Services,9,0,0,15,2,62.44
General Enquiry,12,0,0,16,1,63.41
Account Services,13,1,0,48,2,185.49
General Enquiry,9,0,0,21,4,19.22
Bill Payment,9,3,0,50,3,58.46
Document Verification,14,3,0,36,2,97.24
Document Verification,11,2,0,25,1,152.67
Bill Payment,16,6,1,35,2,67.44
Account Services,11,4,0,12,1,93.91
Account Services,16,5,1,22,2,77.39
General Enquiry,9,4,0,52,3,76.76
Bill Payment,12,6,1,2,1,8.34
Bill Payment,12,3,0,24,3,25.69
General Enquiry,12,1,0,13,3,17.69
Bill Payment,14,2,0,49,1,188.96
General Enquiry,10,2,0,3,3,4.83
Bill Payment,17,0,0,66,2,105.88
Account Services,15,6,1,23,3,54.12
Bill Payment,15,1,0,21,4,17.62
Document Verification,9,0,0,9,3,20.31
Account Services,17,0,0,38,4,76.2
Document Verification,9,5,1,33,3,61.44
Document Verification,11,3,0,4,3,12.92
Account Services,12,1,0,6,3,15.74
Customer Support,16,4,0,33,4,65.18
Account Services,11,5,1,15,1,102.79
Account Services,14,2,0,4,2,13.72
General Enquiry,12,0,0,18,3,22.92
Customer Support,14,4,0,48,1,379.32
General Enquiry,17,0,0,33,1,111.4
Bill Payment,11,5,1,29,4,23.22
Document Verification,17,5,1,33,2,102.01
Document Verification,12,5,1,45,4,68.31
Bill Payment,15,0,0,33,4,28.69
Document Verification,13,2,0,41,3,68.02
Account Services,16,1,0,23,3,62.77
Customer Support,14,2,0,42,1,290.96
Account Services,16,4,0,46,3,143.16
Bill Payment,17,3,0,35,4,31.76
Customer Support,15,3,0,6,3,14.16
Customer Support,12,4,0,25,1,154.05
Customer Support,9,0,0,49,2,159.54
Document Verification,14,5,1,54,1,363.36
Account Services,11,0,0,22,2,84.43
Bill Payment,16,3,0,19,4,15.17
General Enquiry,16,6,1,43,2,91.09
Document Verification,13,0,0,62,4,106.21
General Enquiry,13,3,0,40,4,37.31
Customer Support,13,1,0,44,2,165.21
General Enquiry,9,0,0,36,4,42.6
Customer Support,16,6,1,47,2,180.75
General Enquiry,11,1,0,2,4,3.94
Document Verification,16,2,0,16,4,23.86
Customer Support,10,3,0,9,4,9.89
Bill Payment,11,2,0,21,3,25.1
Account Services,15,3,0,10,2,37.19
Bill Payment,11,5,1,32,2,62.96
Bill Payment,15,6,1,5,3,7.47
Document Verification,12,3,0,24,3,48.3
Account Services,13,4,0,40,2,135.84
Document Verification,15,1,0,9,2,29.38
Customer Support,10,6,1,22,2,71.31
Customer Support,12,4,0,7,4,14.63
Bill Payment,15,2,0,8,1,27.1
General Enquiry,14,6,1,22,2,46.56
Document Verification,16,2,0,16,2,50.52
General Enquiry,10,6,1,15,2,30.18
Bill Payment,17,4,0,4,3,1.79
Document Verification,13,1,0,18,4,21.76
General Enquiry,12,5,1,21,4,20.14
General Enquiry,10,4,0,30,2,65.2
General Enquiry,15,6,1,39,4,43.66
Account Services,16,5,1,38,4,83.46
General Enquiry,12,5,1,45,4,45.34
General Enquiry,15,3,0,25,4,24.78
Document Verification,17,1,0,44,2,122.61
Account Services,10,0,0,10,4,15.6
Customer Support,16,5,1,7,2,23.67
General Enquiry,15,4,0,10,2,23.35
Bill Payment,10,1,0,7,4,3.85
Account Services,16,5,1,38,3,115.14
Bill Payment,17,2,0,45,3,59.4
Document Verification,9,5,1,10,4,20.03
Account Services,11,2,0,41,3,104.22
Document Verification,15,0,0,2,1,11.8
General Enquiry,14,3,0,26,3,29.39
Bill Payment,10,0,0,4,2,7.99
Document Verification,14,4,0,35,4,53.27
Bill Payment,9,5,1,31,2,56.24
Customer Support,16,4,0,30,4,54.64
Bill Payment,13,2,0,49,2,82.74
Account Services,14,5,1,20,2,82.13
Customer Support,9,5,1,46,4,83.55
General Enquiry,14,0,0,52,4,48.52
General Enquiry,11,3,0,12,2,24.64
Bill Payment,10,2,0,43,4,36.67
Customer Support,9,6,1,64,3,149.65
General Enquiry,11,1,0,14,3,14.98
Customer Support,10,4,0,3,4,9.48
Customer Support,12,2,0,31,3,78.49
Bill Payment,9,4,0,64,4,49.92
Customer Support,14,3,0,52,3,107.11
General Enquiry,12,6,1,6,1,24.99
Bill Payment,13,0,0,60,2,106.39
Document Verification,16,1,0,44,3,85.1
General Enquiry,11,2,0,24,3,29.67
Customer Support,16,1,0,14,2,53.55
Document Verification,16,0,0,40,1,237.41
Document Verification,9,4,0,21,2,62.73
Document Verification,9,2,0,12,1,61.79
Bill Payment,16,2,0,40,1,136.3
Bill Payment,17,4,0,6,4,3.62
General Enquiry,17,4,0,17,1,72.0
Customer Support,11,6,1,17,2,57.16
General Enquiry,10,4,0,29,4,27.56
Document Verification,10,6,1,32,1,167.24
Account Services,12,0,0,16,3,35.7
General Enquiry,13,0,0,78,4,68.7
Customer Support,11,0,0,4,1,33.5
General Enquiry,10,4,0,50,3,71.31
Account Services,10,0,0,14,2,49.95
Customer Support,10,1,0,31,4,52.06
Customer Support,13,6,1,17,1,110.28
Account Services,17,5,1,45,4,90.13
Document Verification,17,2,0,32,3,56.05
General Enquiry,12,4,0,17,2,35.51
Account Services,15,4,0,21,1,154.76
Bill Payment,11,2,0,37,2,67.04
Account Services,13,4,0,20,4,37.29
Account Services,16,3,0,11,4,16.17
General Enquiry,16,4,0,50,2,97.26
Account Services,14,4,0,3,2,11.72
Account Services,14,0,0,27,1,232.26
General Enquiry,11,3,0,24,3,26.8
Document Verification,10,3,0,56,1,304.69
Bill Payment,11,1,0,26,3,28.04
Account Services,14,3,0,48,3,136.96
General Enquiry,15,4,0,12,4,14.52
Document Verification,13,2,0,31,4,40.26
Account Services,13,4,0,54,4,124.72
Document Verification,10,0,0,62,3,132.99
Document Verification,14,0,0,37,2,110.74
General Enquiry,16,5,1,27,3,30.06
General Enquiry,12,3,0,2,2,3.06
